atitle,ahref
臺灣各國際港轉運貨櫃統計 新南向國家→新南向國家,https://data.motcmpb.gov.tw/ListFolders/Document/111071?name=111071
臺灣各國際港轉運貨櫃統計 新南向國家→世界各國,https://data.motcmpb.gov.tw/ListFolders/Document/111070?name=111070
臺灣各國際港轉運貨櫃統計 世界各國→新南向國家,https://data.motcmpb.gov.tw/ListFolders/Document/111069?name=111069
臺灣各國際港出口新南向國家貨櫃流向,https://data.motcmpb.gov.tw/ListFolders/Document/111068?name=111068
新南向國家進口臺灣各國際港貨櫃流向,https://data.motcmpb.gov.tw/ListFolders/Document/111067?name=111067
臺灣地區各港出港貨櫃運輸按櫃分,https://data.motcmpb.gov.tw/ListFolders/Document/106898?name=106898
臺灣地區各港進港貨櫃運輸按櫃分,https://data.motcmpb.gov.tw/ListFolders/Document/106897?name=106897
臺灣地區各港出港貨櫃運輸按貨物分,https://data.motcmpb.gov.tw/ListFolders/Document/106896?name=106896
臺灣地區各港進港貨櫃運輸按貨物分,https://data.motcmpb.gov.tw/ListFolders/Document/106895?name=106895
臺灣各國際港轉運貨櫃量,https://data.motcmpb.gov.tw/ListFolders/Document/106894?name=106894
